County	District	Dem Votes 2016	GOP Votes 2016	Major Party Votes 2016	County-District Percent Dem	County Share of Dem Votes in District
Escambia	01	57461	88808	152467	0.3769	0.5367
Holmes	01	482	4813	5400	0.0893	0.0045
Okaloosa	01	23780	71893	100852	0.2358	0.2221
Santa Rosa	01	18464	65339	87744	0.2104	0.1725
Walton	01	6876	25756	33637	0.2044	0.0642
Bay	02	21797	62194	87449	0.2493	0.2006
Calhoun	02	1241	4655	6081	0.2041	0.0114
Columbia	02	5850	18606	25107	0.2330	0.0539
Dixie	02	1270	5822	7202	0.1763	0.0117
Franklin	02	1744	4125	6015	0.2899	0.0161
Gilchrist	02	1458	6740	8420	0.1732	0.0134
Gulf	02	1720	5329	7293	0.2358	0.0158
Holmes	02	371	2670	3114	0.1191	0.0034
Jackson	02	6397	14257	21039	0.3041	0.0589
Jefferson	02	293	414	717	0.4082	0.0027
Lafayette	02	518	2809	3392	0.1527	0.0048
Leon	02	38163	32972	74252	0.5140	0.3513
Levy	02	5101	13775	19395	0.2630	0.0470
Liberty	02	651	2543	3296	0.1975	0.0060
Marion	02	9334	17713	27687	0.3371	0.0859
Suwannee	02	3964	14287	18693	0.2121	0.0365
Taylor	02	2152	6930	9290	0.2316	0.0198
Wakulla	02	4348	10512	15350	0.2833	0.0400
Washington	02	2264	8637	11156	0.2029	0.0208
Alachua	03	75820	46834	128569	0.5897	0.5364
Bradford	03	2924	8913	12098	0.2417	0.0207
Clay	03	27822	74963	106483	0.2613	0.1968
Marion	03	23688	40062	65727	0.3604	0.1676
Putnam	03	10094	22138	33117	0.3048	0.0714
Union	03	1014	4568	5694	0.1781	0.0072
Duval	04	95976	151223	257716	0.3724	0.6680
Nassau	04	10869	34266	46607	0.2332	0.0756
St. Johns	04	36830	76338	117294	0.3140	0.2563
Baker	05	2112	10294	12634	0.1672	0.0110
Columbia	05	1751	1762	3600	0.4863	0.0092
Duval	05	109728	60449	174968	0.6271	0.5739
Gadsden	05	15020	6728	22113	0.6792	0.0786
Hamilton	05	1904	3443	5460	0.3487	0.0100
Jefferson	05	3248	3516	6928	0.4689	0.0170
Leon	05	53905	20849	77863	0.6923	0.2819
Madison	05	3526	4851	8505	0.4146	0.0184
Flagler	06	22026	33850	57503	0.3830	0.1454
Lake	06	14067	26737	42222	0.3332	0.0929
St. Johns	06	6269	12346	19219	0.3262	0.0414
Volusia	06	109091	143007	260860	0.4182	0.7203
Orange	07	80744	50735	138299	0.5838	0.4326
Seminole	07	105914	109443	224887	0.4710	0.5674
Brevard	08	119679	181848	314744	0.3802	0.7904
Indian River	08	29043	48620	80007	0.3630	0.1918
Orange	08	2690	4180	7160	0.3757	0.0178
Orange	09	51526	30239	85193	0.6048	0.2637
Osceola	09	85458	50301	140206	0.6095	0.4374
Polk	09	58384	68812	131131	0.4452	0.2988
Orange	10	194934	110062	315611	0.6176	1.0000
Citrus	11	22789	54456	79699	0.2859	0.1708
Hernando	11	31795	58970	93793	0.3390	0.2383
Lake	11	27207	50042	79558	0.3420	0.2039
Marion	11	29019	50058	81284	0.3570	0.2175
Sumter	11	22638	52730	76664	0.2953	0.1696
Hillsborough	12	2808	4533	7593	0.3698	0.0190
Pasco	12	90142	142101	241131	0.3738	0.6101
Pinellas	12	54809	71853	131633	0.4164	0.3709
Pinellas	13	178892	167348	360760	0.4959	1.0000
Hillsborough	14	188870	128797	330433	0.5716	1.0000
Hillsborough	15	76335	84461	167321	0.4562	0.5293
Lake	15	21564	25408	48682	0.4430	0.1495
Polk	15	46327	67765	118515	0.3909	0.3212
Hillsborough	16	39883	49079	92299	0.4321	0.2340
Manatee	16	71224	101944	178954	0.3980	0.4179
Sarasota	16	59335	62248	125554	0.4726	0.3481
Charlotte	17	33445	60218	96371	0.3470	0.2699
DeSoto	17	3781	6778	10818	0.3495	0.0305
Glades	17	1271	2996	4353	0.2920	0.0103
Hardee	17	2149	5242	7583	0.2834	0.0173
Highlands	17	14937	29565	45686	0.3269	0.1205
Lee	17	13120	22958	37228	0.3524	0.1059
Okeechobee	17	3959	9356	13653	0.2900	0.0319
Polk	17	12722	20853	34665	0.3670	0.1027
Sarasota	17	38535	62190	103504	0.3723	0.3110
Martin	18	30185	53204	85792	0.3518	0.1791
Palm Beach	18	71492	80278	155835	0.4588	0.4241
St. Lucie	18	66881	70289	140847	0.4748	0.3968
Collier	19	31213	58504	91968	0.3394	0.2183
Lee	19	111788	168593	289190	0.3866	0.7817
Broward	20	170507	31379	205151	0.8311	0.7362
Palm Beach	20	61089	20872	83660	0.7302	0.2638
Palm Beach	21	206239	137490	351661	0.5865	1.0000
Broward	22	166502	112466	285316	0.5836	0.8228
Palm Beach	22	35853	33762	71166	0.5038	0.1772
Broward	23	192073	109096	308439	0.6227	0.9187
Miami-Dade	23	17006	11871	29343	0.5796	0.0813
Broward	24	24237	8010	33044	0.7335	0.1103
Miami-Dade	24	195546	32807	232131	0.8424	0.8897
Collier	25	29872	46919	78820	0.3790	0.2358
Hendry	25	4615	6195	11115	0.4152	0.0364
Miami-Dade	25	92181	78205	174419	0.5285	0.7277
Miami-Dade	26	145281	95301	246747	0.5888	0.8845
Monroe	26	18971	21904	42478	0.4466	0.1155
Miami-Dade	27	174132	115814	297564	0.5852	1.0000